Product,Category
#tcs,IT
#infosys,IT
#hcl,IT
#wipro,IT
#l&t,IT
#nestle,FMCG
#dabur,FMCG
#itc,FMCG
#godrej,FMCG
#britannia,FMCG
#icici,BANKING
#sbi,BANKING
#hdfc,BANKING
#axis,BANKING
#pnb,BANKING
#reliance,ENERGY
#ongc,ENERGY
#adani,ENERGY
#ntpc,ENERGY
